sample_id,image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,target_name,target
ID1457700382__Dry_Dead_g,train/ID1457700382.jpg,2015/4/1,NSW,Lucerne,0.7,30.0,Dry_Dead_g,0.0
ID1457700382__Dry_Green_g,train/ID1457700382.jpg,2015/4/1,NSW,Lucerne,0.7,30.0,Dry_Green_g,24.8
ID1457700382__Dry_Total_g,train/ID1457700382.jpg,2015/4/1,NSW,Lucerne,0.7,30.0,Dry_Total_g,24.8
ID1457700382__GDM_g,train/ID1457700382.jpg,2015/4/1,NSW,Lucerne,0.7,30.0,GDM_g,24.8
ID1458758610__Dry_Clover_g,train/ID1458758610.jpg,2015/10/6,NSW,Fescue,0.49,9.3333,Dry_Clover_g,0.0
ID1458758610__Dry_Dead_g,train/ID1458758610.jpg,2015/10/6,NSW,Fescue,0.49,9.3333,Dry_Dead_g,50.2255
ID1458758610__Dry_Green_g,train/ID1458758610.jpg,2015/10/6,NSW,Fescue,0.49,9.3333,Dry_Green_g,52.4745
ID1458758610__Dry_Total_g,train/ID1458758610.jpg,2015/10/6,NSW,Fescue,0.49,9.3333,Dry_Total_g,102.7
ID1458758610__GDM_g,train/ID1458758610.jpg,2015/10/6,NSW,Fescue,0.49,9.3333,GDM_g,52.4745
ID1463690813__Dry_Clover_g,train/ID1463690813.jpg,2015/4/1,NSW,Lucerne,0.84,35.0,Dry_Clover_g,0.0
ID1463690813__Dry_Dead_g,train/ID1463690813.jpg,2015/4/1,NSW,Lucerne,0.84,35.0,Dry_Dead_g,0.0
ID1463690813__Dry_Green_g,train/ID1463690813.jpg,2015/4/1,NSW,Lucerne,0.84,35.0,Dry_Green_g,58.2
ID1463690813__Dry_Total_g,train/ID1463690813.jpg,2015/4/1,NSW,Lucerne,0.84,35.0,Dry_Total_g,58.2
ID1463690813__GDM_g,train/ID1463690813.jpg,2015/4/1,NSW,Lucerne,0.84,35.0,GDM_g,58.2
ID146920896__Dry_Clover_g,train/ID146920896.jpg,2015/5/19,Tas,Ryegrass_Clover,0.36,2.0,Dry_Clover_g,0.5
ID146920896__Dry_Dead_g,train/ID146920896.jpg,2015/5/19,Tas,Ryegrass_Clover,0.36,2.0,Dry_Dead_g,0.4
ID146920896__Dry_Green_g,train/ID146920896.jpg,2015/5/19,Tas,Ryegrass_Clover,0.36,2.0,Dry_Green_g,6.6
ID146920896__Dry_Total_g,train/ID146920896.jpg,2015/5/19,Tas,Ryegrass_Clover,0.36,2.0,Dry_Total_g,7.5
ID146920896__GDM_g,train/ID146920896.jpg,2015/5/19,Tas,Ryegrass_Clover,0.36,2.0,GDM_g,7.1
ID1471216911__Dry_Clover_g,train/ID1471216911.jpg,2015/9/30,Vic,Phalaris_Clover,0.85,16.0,Dry_Clover_g,67.8977
ID1471216911__Dry_Dead_g,train/ID1471216911.jpg,2015/9/30,Vic,Phalaris_Clover,0.85,16.0,Dry_Dead_g,11.4857
ID1471216911__Dry_Green_g,train/ID1471216911.jpg,2015/9/30,Vic,Phalaris_Clover,0.85,16.0,Dry_Green_g,28.8667
ID1471216911__Dry_Total_g,train/ID1471216911.jpg,2015/9/30,Vic,Phalaris_Clover,0.85,16.0,Dry_Total_g,108.25
ID1471216911__GDM_g,train/ID1471216911.jpg,2015/9/30,Vic,Phalaris_Clover,0.85,16.0,GDM_g,96.7643
ID1472525822__Dry_Clover_g,train/ID1472525822.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.7,7.0,Dry_Clover_g,0.0
ID1472525822__Dry_Dead_g,train/ID1472525822.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.7,7.0,Dry_Dead_g,16.4891
ID1472525822__Dry_Green_g,train/ID1472525822.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.7,7.0,Dry_Green_g,30.3109
ID1472525822__Dry_Total_g,train/ID1472525822.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.7,7.0,Dry_Total_g,46.8
ID1472525822__GDM_g,train/ID1472525822.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.7,7.0,GDM_g,30.3109
ID1473228876__Dry_Clover_g,train/ID1473228876.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.72,8.0,Dry_Clover_g,0.0
ID1473228876__Dry_Dead_g,train/ID1473228876.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.72,8.0,Dry_Dead_g,10.0135
ID1473228876__Dry_Green_g,train/ID1473228876.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.72,8.0,Dry_Green_g,28.0865
ID1473228876__Dry_Total_g,train/ID1473228876.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.72,8.0,Dry_Total_g,38.1
ID1473228876__GDM_g,train/ID1473228876.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.72,8.0,GDM_g,28.0865
ID1474775613__Dry_Clover_g,train/ID1474775613.jpg,2015/5/18,Tas,Ryegrass,0.86,10.0,Dry_Clover_g,0.0
ID1474775613__Dry_Dead_g,train/ID1474775613.jpg,2015/5/18,Tas,Ryegrass,0.86,10.0,Dry_Dead_g,5.3604
ID1474775613__Dry_Green_g,train/ID1474775613.jpg,2015/5/18,Tas,Ryegrass,0.86,10.0,Dry_Green_g,44.3447
ID1474775613__Dry_Total_g,train/ID1474775613.jpg,2015/5/18,Tas,Ryegrass,0.86,10.0,Dry_Total_g,49.7051
ID1474775613__GDM_g,train/ID1474775613.jpg,2015/5/18,Tas,Ryegrass,0.86,10.0,GDM_g,44.3447
ID147528735__Dry_Clover_g,train/ID147528735.jpg,2015/1/15,NSW,Lucerne,0.74,52.0,Dry_Clover_g,0.0
ID147528735__Dry_Dead_g,train/ID147528735.jpg,2015/1/15,NSW,Lucerne,0.74,52.0,Dry_Dead_g,3.0
ID147528735__Dry_Green_g,train/ID147528735.jpg,2015/1/15,NSW,Lucerne,0.74,52.0,Dry_Green_g,53.5
ID147528735__Dry_Total_g,train/ID147528735.jpg,2015/1/15,NSW,Lucerne,0.74,52.0,Dry_Total_g,56.5
ID147528735__GDM_g,train/ID147528735.jpg,2015/1/15,NSW,Lucerne,0.74,52.0,GDM_g,53.5
ID1476045099__Dry_Clover_g,train/ID1476045099.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,Dry_Clover_g,6.7778
ID1476045099__Dry_Dead_g,train/ID1476045099.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,Dry_Dead_g,3.3889
ID1476045099__Dry_Green_g,train/ID1476045099.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,Dry_Green_g,20.3333
ID1476045099__Dry_Total_g,train/ID1476045099.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,Dry_Total_g,30.5
ID1476045099__GDM_g,train/ID1476045099.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,GDM_g,27.1111
ID1477176296__Dry_Clover_g,train/ID1477176296.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,Dry_Clover_g,1.8308
ID1477176296__Dry_Dead_g,train/ID1477176296.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,Dry_Dead_g,1.8308
ID1477176296__Dry_Green_g,train/ID1477176296.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,Dry_Green_g,20.1385
ID1477176296__Dry_Total_g,train/ID1477176296.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,Dry_Total_g,23.8
ID1477176296__GDM_g,train/ID1477176296.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,GDM_g,21.9692
ID1488408526__Dry_Clover_g,train/ID1488408526.jpg,2015/2/25,NSW,Fescue,0.48,6.0,Dry_Clover_g,0.0
ID1488408526__Dry_Dead_g,train/ID1488408526.jpg,2015/2/25,NSW,Fescue,0.48,6.0,Dry_Dead_g,9.8969
ID1488408526__Dry_Green_g,train/ID1488408526.jpg,2015/2/25,NSW,Fescue,0.48,6.0,Dry_Green_g,28.5031
ID1488408526__Dry_Total_g,train/ID1488408526.jpg,2015/2/25,NSW,Fescue,0.48,6.0,Dry_Total_g,38.4
ID1488408526__GDM_g,train/ID1488408526.jpg,2015/2/25,NSW,Fescue,0.48,6.0,GDM_g,28.5031
ID1496750796__Dry_Clover_g,train/ID1496750796.jpg,2015/8/14,Vic,Ryegrass_Clover,0.68,2.0,Dry_Clover_g,1.7727
ID1496750796__Dry_Dead_g,train/ID1496750796.jpg,2015/8/14,Vic,Ryegrass_Clover,0.68,2.0,Dry_Dead_g,5.3182
ID1496750796__Dry_Green_g,train/ID1496750796.jpg,2015/8/14,Vic,Ryegrass_Clover,0.68,2.0,Dry_Green_g,12.4091
ID1496750796__Dry_Total_g,train/ID1496750796.jpg,2015/8/14,Vic,Ryegrass_Clover,0.68,2.0,Dry_Total_g,19.5
ID1496750796__GDM_g,train/ID1496750796.jpg,2015/8/14,Vic,Ryegrass_Clover,0.68,2.0,GDM_g,14.1818
ID1498398599__Dry_Clover_g,train/ID1498398599.jpg,2015/9/4,Tas,Clover,0.36,2.1667,Dry_Clover_g,11.0375
ID1498398599__Dry_Dead_g,train/ID1498398599.jpg,2015/9/4,Tas,Clover,0.36,2.1667,Dry_Dead_g,5.6471
ID1498398599__Dry_Green_g,train/ID1498398599.jpg,2015/9/4,Tas,Clover,0.36,2.1667,Dry_Green_g,1.2834
ID1498398599__Dry_Total_g,train/ID1498398599.jpg,2015/9/4,Tas,Clover,0.36,2.1667,Dry_Total_g,17.9681
ID1498398599__GDM_g,train/ID1498398599.jpg,2015/9/4,Tas,Clover,0.36,2.1667,GDM_g,12.321
ID1509266870__Dry_Clover_g,train/ID1509266870.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,Dry_Clover_g,2.775
ID1509266870__Dry_Dead_g,train/ID1509266870.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,Dry_Dead_g,2.775
ID1509266870__Dry_Green_g,train/ID1509266870.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,Dry_Green_g,27.75
ID1509266870__Dry_Total_g,train/ID1509266870.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,Dry_Total_g,33.3
ID1509266870__GDM_g,train/ID1509266870.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,GDM_g,30.525
ID1510574031__Dry_Clover_g,train/ID1510574031.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.51,5.1667,Dry_Clover_g,7.2336
ID1510574031__Dry_Dead_g,train/ID1510574031.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.51,5.1667,Dry_Dead_g,14.4672
ID1510574031__Dry_Green_g,train/ID1510574031.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.51,5.1667,Dry_Green_g,19.4992
ID1510574031__Dry_Total_g,train/ID1510574031.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.51,5.1667,Dry_Total_g,41.2
ID1510574031__GDM_g,train/ID1510574031.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.51,5.1667,GDM_g,26.7328
ID1512751450__Dry_Clover_g,train/ID1512751450.jpg,2015/9/11,Tas,Ryegrass,0.77,3.8333,Dry_Clover_g,0.3786
ID1512751450__Dry_Dead_g,train/ID1512751450.jpg,2015/9/11,Tas,Ryegrass,0.77,3.8333,Dry_Dead_g,9.6678
ID1512751450__Dry_Green_g,train/ID1512751450.jpg,2015/9/11,Tas,Ryegrass,0.77,3.8333,Dry_Green_g,19.656
ID1512751450__Dry_Total_g,train/ID1512751450.jpg,2015/9/11,Tas,Ryegrass,0.77,3.8333,Dry_Total_g,29.7024
ID1512751450__GDM_g,train/ID1512751450.jpg,2015/9/11,Tas,Ryegrass,0.77,3.8333,GDM_g,20.0346
ID1513184765__Dry_Clover_g,train/ID1513184765.jpg,2015/6/26,Tas,Ryegrass_Clover,0.41,1.0,Dry_Clover_g,0.0
ID1513184765__Dry_Dead_g,train/ID1513184765.jpg,2015/6/26,Tas,Ryegrass_Clover,0.41,1.0,Dry_Dead_g,5.0118
ID1513184765__Dry_Green_g,train/ID1513184765.jpg,2015/6/26,Tas,Ryegrass_Clover,0.41,1.0,Dry_Green_g,6.1574
ID1513184765__Dry_Total_g,train/ID1513184765.jpg,2015/6/26,Tas,Ryegrass_Clover,0.41,1.0,Dry_Total_g,11.1692
ID1513184765__GDM_g,train/ID1513184765.jpg,2015/6/26,Tas,Ryegrass_Clover,0.41,1.0,GDM_g,6.1574
ID1515990019__Dry_Clover_g,train/ID1515990019.jpg,2015/9/3,Tas,Ryegrass_Clover,0.41,2.1667,Dry_Clover_g,0.0
ID1515990019__Dry_Dead_g,train/ID1515990019.jpg,2015/9/3,Tas,Ryegrass_Clover,0.41,2.1667,Dry_Dead_g,1.3
ID1515990019__Dry_Green_g,train/ID1515990019.jpg,2015/9/3,Tas,Ryegrass_Clover,0.41,2.1667,Dry_Green_g,11.9
ID1515990019__Dry_Total_g,train/ID1515990019.jpg,2015/9/3,Tas,Ryegrass_Clover,0.41,2.1667,Dry_Total_g,13.2
ID1515990019__GDM_g,train/ID1515990019.jpg,2015/9/3,Tas,Ryegrass_Clover,0.41,2.1667,GDM_g,11.9
ID1516374298__Dry_Clover_g,train/ID1516374298.jpg,2015/7/8,WA,Clover,0.3,1.0,Dry_Clover_g,9.0
ID1516374298__Dry_Dead_g,train/ID1516374298.jpg,2015/7/8,WA,Clover,0.3,1.0,Dry_Dead_g,0.0
ID1516374298__Dry_Green_g,train/ID1516374298.jpg,2015/7/8,WA,Clover,0.3,1.0,Dry_Green_g,1.7
ID1516374298__Dry_Total_g,train/ID1516374298.jpg,2015/7/8,WA,Clover,0.3,1.0,Dry_Total_g,10.7
ID1516374298__GDM_g,train/ID1516374298.jpg,2015/7/8,WA,Clover,0.3,1.0,GDM_g,10.7
ID152157478__Dry_Clover_g,train/ID152157478.jpg,2015/9/29,Vic,Ryegrass_Clover,0.84,17.0,Dry_Clover_g,35.1643
ID152157478__Dry_Dead_g,train/ID152157478.jpg,2015/9/29,Vic,Ryegrass_Clover,0.84,17.0,Dry_Dead_g,7.9034
ID152157478__Dry_Green_g,train/ID152157478.jpg,2015/9/29,Vic,Ryegrass_Clover,0.84,17.0,Dry_Green_g,64.3724
ID152157478__Dry_Total_g,train/ID152157478.jpg,2015/9/29,Vic,Ryegrass_Clover,0.84,17.0,Dry_Total_g,107.44
ID152157478__GDM_g,train/ID152157478.jpg,2015/9/29,Vic,Ryegrass_Clover,0.84,17.0,GDM_g,99.5366
ID1525817840__Dry_Clover_g,train/ID1525817840.jpg,2015/8/18,Vic,Phalaris_Clover,0.72,3.8,Dry_Clover_g,7.7677
ID1525817840__Dry_Dead_g,train/ID1525817840.jpg,2015/8/18,Vic,Phalaris_Clover,0.72,3.8,Dry_Dead_g,32.3656
ID1525817840__Dry_Green_g,train/ID1525817840.jpg,2015/8/18,Vic,Phalaris_Clover,0.72,3.8,Dry_Green_g,20.0667
ID1525817840__Dry_Total_g,train/ID1525817840.jpg,2015/8/18,Vic,Phalaris_Clover,0.72,3.8,Dry_Total_g,60.2
ID1525817840__GDM_g,train/ID1525817840.jpg,2015/8/18,Vic,Phalaris_Clover,0.72,3.8,GDM_g,27.8344
ID1540480250__Dry_Clover_g,train/ID1540480250.jpg,2015/2/24,NSW,Phalaris,0.58,20.0,Dry_Clover_g,0.0
ID1540480250__Dry_Dead_g,train/ID1540480250.jpg,2015/2/24,NSW,Phalaris,0.58,20.0,Dry_Dead_g,3.6485
ID1540480250__Dry_Green_g,train/ID1540480250.jpg,2015/2/24,NSW,Phalaris,0.58,20.0,Dry_Green_g,116.7515
ID1540480250__Dry_Total_g,train/ID1540480250.jpg,2015/2/24,NSW,Phalaris,0.58,20.0,Dry_Total_g,120.4
ID1540480250__GDM_g,train/ID1540480250.jpg,2015/2/24,NSW,Phalaris,0.58,20.0,GDM_g,116.7515
ID1545077474__Dry_Clover_g,train/ID1545077474.jpg,2015/11/9,Tas,Ryegrass_Clover,0.4,3.5,Dry_Clover_g,0.0
ID1545077474__Dry_Dead_g,train/ID1545077474.jpg,2015/11/9,Tas,Ryegrass_Clover,0.4,3.5,Dry_Dead_g,19.2
ID1545077474__Dry_Green_g,train/ID1545077474.jpg,2015/11/9,Tas,Ryegrass_Clover,0.4,3.5,Dry_Green_g,8.8
ID1545077474__Dry_Total_g,train/ID1545077474.jpg,2015/11/9,Tas,Ryegrass_Clover,0.4,3.5,Dry_Total_g,28.0
ID1545077474__GDM_g,train/ID1545077474.jpg,2015/11/9,Tas,Ryegrass_Clover,0.4,3.5,GDM_g,8.8
ID1547945326__Dry_Clover_g,train/ID1547945326.jpg,2015/9/3,Tas,Ryegrass_Clover,0.74,2.1667,Dry_Clover_g,6.2816
ID1547945326__Dry_Dead_g,train/ID1547945326.jpg,2015/9/3,Tas,Ryegrass_Clover,0.74,2.1667,Dry_Dead_g,4.2493
ID1547945326__Dry_Green_g,train/ID1547945326.jpg,2015/9/3,Tas,Ryegrass_Clover,0.74,2.1667,Dry_Green_g,10.7156
ID1547945326__Dry_Total_g,train/ID1547945326.jpg,2015/9/3,Tas,Ryegrass_Clover,0.74,2.1667,Dry_Total_g,21.2465
ID1547945326__GDM_g,train/ID1547945326.jpg,2015/9/3,Tas,Ryegrass_Clover,0.74,2.1667,GDM_g,16.9972
ID1559189397__Dry_Clover_g,train/ID1559189397.jpg,2015/5/7,NSW,Lucerne,0.56,23.0,Dry_Clover_g,0.0
ID1559189397__Dry_Dead_g,train/ID1559189397.jpg,2015/5/7,NSW,Lucerne,0.56,23.0,Dry_Dead_g,1.0805
ID1559189397__Dry_Green_g,train/ID1559189397.jpg,2015/5/7,NSW,Lucerne,0.56,23.0,Dry_Green_g,22.4195
ID1559189397__Dry_Total_g,train/ID1559189397.jpg,2015/5/7,NSW,Lucerne,0.56,23.0,Dry_Total_g,23.5
ID1559189397__GDM_g,train/ID1559189397.jpg,2015/5/7,NSW,Lucerne,0.56,23.0,GDM_g,22.4195
ID1563418511__Dry_Clover_g,train/ID1563418511.jpg,2015/2/24,NSW,Phalaris,0.7,34.0,Dry_Clover_g,0.0
ID1563418511__Dry_Dead_g,train/ID1563418511.jpg,2015/2/24,NSW,Phalaris,0.7,34.0,Dry_Dead_g,4.5904
ID1563418511__Dry_Green_g,train/ID1563418511.jpg,2015/2/24,NSW,Phalaris,0.7,34.0,Dry_Green_g,107.1096
ID1563418511__Dry_Total_g,train/ID1563418511.jpg,2015/2/24,NSW,Phalaris,0.7,34.0,Dry_Total_g,111.7
ID1563418511__GDM_g,train/ID1563418511.jpg,2015/2/24,NSW,Phalaris,0.7,34.0,GDM_g,107.1096
ID1570190541__Dry_Clover_g,train/ID1570190541.jpg,2015/11/9,Tas,Clover,0.55,2.3333,Dry_Clover_g,16.6157
ID1570190541__Dry_Dead_g,train/ID1570190541.jpg,2015/11/9,Tas,Clover,0.55,2.3333,Dry_Dead_g,7.8376
ID1570190541__Dry_Green_g,train/ID1570190541.jpg,2015/11/9,Tas,Clover,0.55,2.3333,Dry_Green_g,0.1568
ID1570190541__Dry_Total_g,train/ID1570190541.jpg,2015/11/9,Tas,Clover,0.55,2.3333,Dry_Total_g,24.61
ID1570190541__GDM_g,train/ID1570190541.jpg,2015/11/9,Tas,Clover,0.55,2.3333,GDM_g,16.7724
ID1573329652__Dry_Clover_g,train/ID1573329652.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.61,6.0,Dry_Clover_g,0.0
ID1573329652__Dry_Dead_g,train/ID1573329652.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.61,6.0,Dry_Dead_g,19.2015
ID1573329652__Dry_Green_g,train/ID1573329652.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.61,6.0,Dry_Green_g,22.2985
ID1573329652__Dry_Total_g,train/ID1573329652.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.61,6.0,Dry_Total_g,41.5
ID1573329652__GDM_g,train/ID1573329652.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.61,6.0,GDM_g,22.2985
ID1574125908__Dry_Clover_g,train/ID1574125908.jpg,2015/2/24,NSW,Ryegrass,0.42,7.0,Dry_Clover_g,0.0
ID1574125908__Dry_Dead_g,train/ID1574125908.jpg,2015/2/24,NSW,Ryegrass,0.42,7.0,Dry_Dead_g,3.5379
ID1574125908__Dry_Green_g,train/ID1574125908.jpg,2015/2/24,NSW,Ryegrass,0.42,7.0,Dry_Green_g,43.1621
ID1574125908__Dry_Total_g,train/ID1574125908.jpg,2015/2/24,NSW,Ryegrass,0.42,7.0,Dry_Total_g,46.7
ID1574125908__GDM_g,train/ID1574125908.jpg,2015/2/24,NSW,Ryegrass,0.42,7.0,GDM_g,43.1621
ID157479394__Dry_Clover_g,train/ID157479394.jpg,2015/2/24,NSW,Phalaris,0.69,37.0,Dry_Clover_g,0.0
ID157479394__Dry_Dead_g,train/ID157479394.jpg,2015/2/24,NSW,Phalaris,0.69,37.0,Dry_Dead_g,4.8579
ID157479394__Dry_Green_g,train/ID157479394.jpg,2015/2/24,NSW,Phalaris,0.69,37.0,Dry_Green_g,129.3421
ID157479394__Dry_Total_g,train/ID157479394.jpg,2015/2/24,NSW,Phalaris,0.69,37.0,Dry_Total_g,134.2
ID157479394__GDM_g,train/ID157479394.jpg,2015/2/24,NSW,Phalaris,0.69,37.0,GDM_g,129.3421
ID1579942839__Dry_Clover_g,train/ID1579942839.jpg,2015/9/4,Tas,Clover,0.66,2.5,Dry_Clover_g,14.886
ID1579942839__Dry_Dead_g,train/ID1579942839.jpg,2015/9/4,Tas,Clover,0.66,2.5,Dry_Dead_g,2.6661
ID1579942839__Dry_Green_g,train/ID1579942839.jpg,2015/9/4,Tas,Clover,0.66,2.5,Dry_Green_g,3.3327
ID1579942839__Dry_Total_g,train/ID1579942839.jpg,2015/9/4,Tas,Clover,0.66,2.5,Dry_Total_g,20.8848
ID1579942839__GDM_g,train/ID1579942839.jpg,2015/9/4,Tas,Clover,0.66,2.5,GDM_g,18.2186
ID158170916__Dry_Clover_g,train/ID158170916.jpg,2015/11/10,Tas,Ryegrass_Clover,0.91,8.8333,Dry_Clover_g,5.3547
ID158170916__Dry_Dead_g,train/ID158170916.jpg,2015/11/10,Tas,Ryegrass_Clover,0.91,8.8333,Dry_Dead_g,33.0205
ID158170916__Dry_Green_g,train/ID158170916.jpg,2015/11/10,Tas,Ryegrass_Clover,0.91,8.8333,Dry_Green_g,69.6107
ID158170916__Dry_Total_g,train/ID158170916.jpg,2015/11/10,Tas,Ryegrass_Clover,0.91,8.8333,Dry_Total_g,107.9859
ID158170916__GDM_g,train/ID158170916.jpg,2015/11/10,Tas,Ryegrass_Clover,0.91,8.8333,GDM_g,74.9654
ID1590632667__Dry_Clover_g,train/ID1590632667.jpg,2015/11/9,Tas,Ryegrass_Clover,0.7,3.8333,Dry_Clover_g,3.1807
ID1590632667__Dry_Dead_g,train/ID1590632667.jpg,2015/11/9,Tas,Ryegrass_Clover,0.7,3.8333,Dry_Dead_g,24.2887
ID1590632667__Dry_Green_g,train/ID1590632667.jpg,2015/11/9,Tas,Ryegrass_Clover,0.7,3.8333,Dry_Green_g,31.2284
ID1590632667__Dry_Total_g,train/ID1590632667.jpg,2015/11/9,Tas,Ryegrass_Clover,0.7,3.8333,Dry_Total_g,58.6978
ID1590632667__GDM_g,train/ID1590632667.jpg,2015/11/9,Tas,Ryegrass_Clover,0.7,3.8333,GDM_g,34.4091
ID1618145129__Dry_Clover_g,train/ID1618145129.jpg,2015/11/10,Tas,Ryegrass_Clover,0.84,4.1667,Dry_Clover_g,0.0
ID1618145129__Dry_Dead_g,train/ID1618145129.jpg,2015/11/10,Tas,Ryegrass_Clover,0.84,4.1667,Dry_Dead_g,10.3826
ID1618145129__Dry_Green_g,train/ID1618145129.jpg,2015/11/10,Tas,Ryegrass_Clover,0.84,4.1667,Dry_Green_g,37.1257
ID1618145129__Dry_Total_g,train/ID1618145129.jpg,2015/11/10,Tas,Ryegrass_Clover,0.84,4.1667,Dry_Total_g,47.5083
ID1618145129__GDM_g,train/ID1618145129.jpg,2015/11/10,Tas,Ryegrass_Clover,0.84,4.1667,GDM_g,37.1257
ID1618597318__Dry_Clover_g,train/ID1618597318.jpg,2015/9/3,Tas,Ryegrass_Clover,0.65,2.1667,Dry_Clover_g,1.1195
ID1618597318__Dry_Dead_g,train/ID1618597318.jpg,2015/9/3,Tas,Ryegrass_Clover,0.65,2.1667,Dry_Dead_g,2.239
ID1618597318__Dry_Green_g,train/ID1618597318.jpg,2015/9/3,Tas,Ryegrass_Clover,0.65,2.1667,Dry_Green_g,33.0259
ID1618597318__Dry_Total_g,train/ID1618597318.jpg,2015/9/3,Tas,Ryegrass_Clover,0.65,2.1667,Dry_Total_g,36.3845
ID1618597318__GDM_g,train/ID1618597318.jpg,2015/9/3,Tas,Ryegrass_Clover,0.65,2.1667,GDM_g,34.1454
ID1620371305__Dry_Clover_g,train/ID1620371305.jpg,2015/9/30,Vic,Phalaris_Clover,0.79,10.0,Dry_Clover_g,17.0913
ID1620371305__Dry_Dead_g,train/ID1620371305.jpg,2015/9/30,Vic,Phalaris_Clover,0.79,10.0,Dry_Dead_g,6.4092
ID1620371305__Dry_Green_g,train/ID1620371305.jpg,2015/9/30,Vic,Phalaris_Clover,0.79,10.0,Dry_Green_g,57.0895
ID1620371305__Dry_Total_g,train/ID1620371305.jpg,2015/9/30,Vic,Phalaris_Clover,0.79,10.0,Dry_Total_g,80.59
ID1620371305__GDM_g,train/ID1620371305.jpg,2015/9/30,Vic,Phalaris_Clover,0.79,10.0,GDM_g,74.1808
ID162394992__Dry_Clover_g,train/ID162394992.jpg,2015/2/24,NSW,Ryegrass,0.61,9.0,Dry_Clover_g,0.0
ID162394992__Dry_Dead_g,train/ID162394992.jpg,2015/2/24,NSW,Ryegrass,0.61,9.0,Dry_Dead_g,1.8459
ID162394992__Dry_Green_g,train/ID162394992.jpg,2015/2/24,NSW,Ryegrass,0.61,9.0,Dry_Green_g,47.2541
ID162394992__Dry_Total_g,train/ID162394992.jpg,2015/2/24,NSW,Ryegrass,0.61,9.0,Dry_Total_g,49.1
ID162394992__GDM_g,train/ID162394992.jpg,2015/2/24,NSW,Ryegrass,0.61,9.0,GDM_g,47.2541
ID1623964968__Dry_Clover_g,train/ID1623964968.jpg,2015/11/9,Tas,Ryegrass_Clover,0.44,2.3333,Dry_Clover_g,10.0977
ID1623964968__Dry_Dead_g,train/ID1623964968.jpg,2015/11/9,Tas,Ryegrass_Clover,0.44,2.3333,Dry_Dead_g,21.4983
ID1623964968__Dry_Green_g,train/ID1623964968.jpg,2015/11/9,Tas,Ryegrass_Clover,0.44,2.3333,Dry_Green_g,19.5439
ID1623964968__Dry_Total_g,train/ID1623964968.jpg,2015/11/9,Tas,Ryegrass_Clover,0.44,2.3333,Dry_Total_g,51.1398
ID1623964968__GDM_g,train/ID1623964968.jpg,2015/11/9,Tas,Ryegrass_Clover,0.44,2.3333,GDM_g,29.6415
ID1624268863__Dry_Clover_g,train/ID1624268863.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.56,4.0,Dry_Clover_g,0.0
ID1624268863__Dry_Dead_g,train/ID1624268863.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.56,4.0,Dry_Dead_g,10.168
ID1624268863__Dry_Green_g,train/ID1624268863.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.56,4.0,Dry_Green_g,22.932
